id,nameJa,nameEn,thumbnail,descJa,descEn,typeJa,typeEn
1,移動通信ネットワーク特論,Advanced Mobile Communication Networks,1.jpg,モバイル通信ネットワークの設計・最適化に関する最新技術を講義します,Lectures on cutting-edge technologies for mobile communication network design and optimization,大学院後期科目,Graduate School Elective
2,情報通信ネットワーク1,Information Communication Networks 1,2.jpg,情報通信ネットワークの基礎から応用までを体系的に学びます,Systematically learn from the basics to applications of information communication networks,学部3年前期科目,Undergraduate 3rd Year (Spring)
3,情報理論1,Information Theory 1,3.jpg,情報量・エントロピー・符号化の基礎理論を学びます,Learn the fundamental theory of information quantity entropy and coding,学部2年前期科目,Undergraduate 2nd Year (Spring)
4,情報理論2,Information Theory 2,4.jpg,情報理論の応用として通信路符号化・データ圧縮などを学びます,Learn channel coding data compression and other applications of information theory,学部2年後期科目,Undergraduate 2nd Year (Fall)
